집계일자,집계시,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량,
20210406,05,0,1,26,1,101,0,1,1,0,17,120,
20210406,05,0,1,43,1,16,0,0,0,2,0,18,
20210406,05,0,1,01,0,64,2,17,34,5,0,122,
20210406,05,0,1,34,0,56,1,7,15,4,0,83,
20210406,05,0,1,11,0,295,13,34,32,16,13,403,
20210406,05,0,1,18,0,248,24,66,87,39,2,466,
20210406,05,0,1,28,0,203,6,6,17,6,18,256,
20210406,05,0,1,37,0,28,0,3,34,8,2,75,
20210406,05,0,1,46,0,5,0,3,1,0,0,9,
20210406,05,0,2,00,0,43133,3675,2820,3296,6932,1730,61586,
20210406,05,0,2,00,1,20799,960,590,498,1073,813,24733,
20210406,05,0,2,24,1,6,2,1,0,0,0,9,
20210406,05,0,2,10,0,2065,97,55,67,104,88,2476,
20210406,05,0,2,10,1,148,4,9,2,24,10,197,
20210406,05,0,2,44,0,1548,91,44,103,251,89,2126,
20210406,05,0,2,44,1,25,1,1,0,0,4,31,
20210406,05,0,2,27,1,348,8,5,3,6,19,389,
20210406,05,0,2,08,0,987,32,39,22,254,58,1392,
20210406,05,0,2,08,1,8,0,0,0,1,0,9,
20210406,05,0,2,26,1,324,5,0,0,0,34,363,
20210406,05,0,2,43,1,151,4,0,1,2,10,168,
20210406,05,0,2,01,0,1587,152,172,325,495,36,2767,
20210406,05,0,2,34,0,943,54,96,60,112,32,1297,
20210406,05,0,2,11,0,2621,126,155,97,168,141,3308,
20210406,05,0,2,18,0,2316,186,247,233,705,94,3781,
20210406,05,0,2,28,0,1894,86,72,57,45,77,2231,
20210406,05,0,2,37,0,150,18,7,30,172,15,392,
20210406,05,0,2,46,0,47,4,12,21,34,3,121,
20210406,05,1,1,00,0,3469,273,399,1309,456,318,6224,
20210406,05,1,1,00,1,1334,73,206,280,176,121,2190,
20210406,05,1,1,24,1,32,14,5,0,0,0,51,
20210406,05,1,1,10,0,106,2,10,7,2,12,139,
20210406,05,1,1,10,1,8,0,0,0,0,0,8,
20210406,05,1,1,44,0,131,8,9,20,13,12,193,
20210406,05,1,1,44,1,9,0,0,0,0,1,10,
20210406,05,1,1,08,0,122,7,10,62,27,12,240,
20210406,05,1,1,08,1,26,1,0,0,0,2,29,
20210406,05,1,1,26,1,42,2,1,2,5,10,62,
20210406,05,1,1,43,1,180,6,10,25,12,13,246,
20210406,05,1,1,01,0,47,9,4,26,12,1,99,
20210406,05,1,1,34,0,49,1,2,4,1,4,61,
20210406,05,1,1,11,0,211,7,18,33,10,26,305,
20210406,05,1,1,18,0,121,9,44,82,40,12,308,
20210406,05,1,1,28,0,127,8,1,16,7,14,173,
20210406,05,1,1,37,0,22,0,3,13,10,5,53,
20210406,05,1,1,46,0,9,0,0,1,2,1,13,
20210406,05,1,2,00,0,27592,2811,2338,3239,6007,1268,43255,
20210406,05,1,2,00,1,13174,716,392,526,1010,496,16314,
20210406,05,1,2,10,0,1393,66,39,60,89,71,1718,
20210406,05,1,2,10,1,62,2,1,5,10,4,84,
20210406,05,1,2,44,0,1011,62,29,93,216,46,1457,
20210406,05,1,2,44,1,90,2,10,0,3,5,110,
20210406,05,1,2,27,1,310,5,6,6,14,27,368,
20210406,05,1,2,08,0,667,40,29,56,320,38,1150,
20210406,05,1,2,08,1,48,1,0,0,0,4,53,
20210406,05,1,2,26,1,150,4,0,0,0,21,175,
20210406,05,1,2,43,1,1626,62,30,27,82,58,1885,
20210406,05,1,2,01,0,1475,143,160,346,548,29,2701,
20210406,05,1,2,34,0,819,49,76,49,107,26,1126,
20210406,05,1,2,11,0,1847,117,136,88,129,87,2404,
20210406,05,1,2,18,0,1463,125,195,263,759,64,2869,
20210406,05,1,2,28,0,1138,60,36,43,34,57,1368,
20210406,05,1,2,37,0,140,15,7,49,97,16,324,
20210406,05,1,2,46,0,45,5,9,16,39,3,117,
20210406,06,0,1,00,0,12181,902,2072,1572,589,212,17528,
20210406,06,0,1,00,1,3133,200,352,251,135,410,4481,
20210406,06,0,1,10,0,396,24,32,30,2,2,486,
20210406,06,0,1,10,1,50,3,6,7,1,6,73,
20210406,06,0,1,44,0,362,29,67,41,19,68,586,
20210406,06,0,1,44,1,15,2,0,0,0,2,19,
20210406,06,0,1,08,0,457,21,31,40,46,4,599,
20210406,06,0,1,08,1,35,2,2,2,3,0,44,
20210406,06,0,1,26,1,180,5,7,0,0,31,223,
20210406,06,0,1,43,1,33,0,3,0,1,0,37,
20210406,06,0,1,01,0,147,14,35,31,14,0,241,
20210406,06,0,1,34,0,132,11,18,25,4,2,192,
20210406,06,0,1,11,0,625,40,131,47,23,31,897,
20210406,06,0,1,18,0,356,33,103,97,44,4,637,
20210406,06,0,1,28,0,416,26,27,18,4,32,523,
20210406,06,0,1,37,0,72,5,10,42,17,3,149,
20210406,06,0,1,46,0,17,1,8,3,1,2,32,
20210406,06,0,2,00,0,99890,5206,5297,3418,8209,4218,126238,
20210406,06,0,2,00,1,34959,1264,938,456,969,1691,40277,
20210406,06,0,2,24,1,37,1,3,0,0,0,41,
20210406,06,0,2,10,0,4175,199,144,73,108,208,4907,
20210406,06,0,2,10,1,624,13,7,2,35,42,723,
20210406,06,0,2,44,0,3715,187,87,99,404,273,4765,
20210406,06,0,2,44,1,77,3,4,0,2,4,90,
20210406,06,0,2,27,1,1099,38,14,11,14,58,1234,
20210406,06,0,2,08,0,2676,68,72,42,421,168,3447,
20210406,06,0,2,08,1,6,0,0,0,1,0,7,
20210406,06,0,2,26,1,760,4,8,0,1,69,842,
20210406,06,0,2,43,1,533,7,4,2,11,20,577,
